Degree Type,Course Title,Institution Name,City Name,Subject,Language,Beginning Semester,Duration,Tuition Fee,Detail Link
Master's degree,MSc Medical Sciences – Cardiovascular Research,University of Freiburg,Freiburg im Breisgau,Medicine in general,English,Winter semester,2 semesters,varied,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8581/
Master's degree,MSc Mineral Resources Engineering – Specialisation: Repository Safety,RWTH Aachen University,Aachen,Engineering in general,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8462/
Master's degree,MSc Molecular Medicine,FAU Erlangen-Nürnberg,Erlangen,Biology,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4684/
Master's degree,MSc Molecular Science,FAU Erlangen-Nürnberg,Erlangen,Chemistry,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4404/
Master's degree,MSc Nanotechnology,FAU Erlangen-Nürnberg,Erlangen,Engineering in general,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8298/
Master's degree,MSc Neuroscience,University of Freiburg,Freiburg im Breisgau,"Mathematics, Natural Sciences in general",English,Winter semester,4 semesters,varied,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6526/
Master's degree,MSc Pharmaceutical Biotechnology,Hamburg University of Applied Sciences,Hamburg,Engineering in general,English,"Winter semester, Summer semester",3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4027/
Master's degree,MSc Photovoltaics Engineering Science,Anhalt University of Applied Sciences,Köthen / Anhalt,Electrical Engineering,English,"Winter semester, Summer semester",3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6900/
Master's degree,MSc Physical Geography: Environmental History,University of Bremen,Bremen,Geography,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4706/
Master's degree,MSc Physics,FAU Erlangen-Nürnberg,Erlangen,"Physics, Astronomy",English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4311/
